
Ulysses Annotated: Notes for James Joyce’s Ulysses,"Don Gifford,",,2019,,PDF, 20.45 MB
陈望衡美学系列（套装5册）（“中国美学界翘楚“带你走进中国美学世界）,"艾略特·杜里奇 & 陈望衡 [艾略特·杜里奇 & 陈望衡],",武汉大学出版社,,chinese,EPUB, 14.93 MB
《习近平新闻思想讲义》,"本书编写组,",人民出版社 学习出版社,2018,chinese,PDF, 30.43 MB
"Научитесь говорить так, чтобы вас услышали! 245 простых упражнений по системе Станиславского","Эльвира Сарабьян,",Астрель,2012,russian,FB2 , 800 KB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
ソシャゲ絵師スキルアップ講座,"つくぐ, Garuku, さくらいだい,",玄光社 / Genkosha,2018,japanese,PDF, 44.23 MB
The Exquisite Book of Paper Flower Transformations,"Livia Cetti,",,2017,english,EPUB, 31.80 MB
The Ultimate Drawing Workbook,"Barrington Barber, Peter Gray,",Arcturus Publishing,2020,english,EPUB, 22.02 MB
Técnicas Rozacruzes de memorização e concentração,"H. SPENCER LEWIS,",,2008,portuguese,PDF, 916 KB
Imaginea interzisa,"Alain Besancon,",Humanitas,1996,romanian,PDF, 17.53 MB
作文四书：《讲理》《作文七巧》《作文十九问》《文学种子》 (套装共4册 散文大家王鼎钧撰写的“作文小书”),"王鼎钧,",,2018,chinese,AZW3 , 1.65 MB
中国古代文体学研究,"吴承学,",人民出版社,2011,chinese,PDF, 26.93 MB
Learn to Draw: 10-Week Course for Aspiring Artists,"Barrington Barber,",Arcturus Publishing,2019,english,EPUB, 27.97 MB
Los usos de las imágenes,"Ernst H. Gombrich,",ePubLibre,1999,spanish,EPUB, 31.20 MB
素描的原点 (大图版),"[美] 安德鲁·路米斯,",上海人民美术出版社,2011,chinese,PDF, 19.07 MB
Love Languages From Classics: All About Love From 90 Must Read Novels and +200 Quotes for Your Daily Inspiration and Wisdom,"Golden Classics [Classics, Golden],",#PrB.rating#0.0,2021,english,EPUB, 1.53 MB
21天美字計畫：侯信永X葉曄X阿德勒真心教你的寫字練習書,"侯信永、葉曄,",遠流出版事業股份有限公司,2016,chinese,EPUB, 25.77 MB
艺术概论 (第二版),"孙美兰,",Unknown,1991,chinese,PDF, 13.06 MB
Графический дизайн. Принцип сетки.,"Элам Кимберли,",Питер,2014,russian,PDF, 21.32 MB
写真から描き起そすマンガデッサン,"西野幸治,",池田書店,2010,japanese,PDF, 97.58 MB
Dare to Create!,"Marie Boudon,",Rocky Nook,2021,english,EPUB, 23.92 MB
恐龙大探索之恐龙百科（美绘注音版）,"孙静 吴飞,",长江出版社,2019,chinese,PDF, 12.49 MB
日本語NOW! NihonGO NOW! Level 1 Volume 1 Activity Book,"Noda, Mari, Wetzel, Patricia J., Marcus, Ginger, Luft, Stephen D., Tsuchiya, Shinsuke, Itomitsu, Masayuki.,",Routledge,2020,english,PDF, 6.99 MB
Never Fail: Chronology Course,"Kalyani Vallath,",,,english,PDF, 1.01 MB
"Visioni digitali. Video, web e nuove tecnologie","Simone Arcagni,",Einaudi,2016,italian,EPUB, 267 KB
《中国古代文体概论 （增订本）》,"褚斌杰,",,,,PDF, 18.83 MB
Art Studio Secrets: More Than 300 Tools and Techniques to Inspire Creativity,"Marjorie Sarnat,",Dover Publications,19,english,EPUB, 22.73 MB
Простое рисование: упражнения для развития и поддержания самостоятельной рисовальной практики,"Горелышев Дмитрий,","Манн, Иванов и Фербер",2019,russian,PDF, 18.87 MB
魅力的なファンタジーキャラを作る発想&作画テクニック,"ぴず,",グラフィック社,2018,japanese,PDF, 87.77 MB
Le dessin facile,"Lise Herzog,",Mango,2021,french,EPUB, 30.50 MB
Portrait Painting in Watercolor,"Charles Reid [Reid, Charles],",,2010,english,EPUB, 4.54 MB
二十世纪法国文学在中国的译介与接受 (增订本),"许钧 / 宋学智,",译林出版社,2018,chinese,PDF, 87.22 MB
人を描くのって楽しいね! : マンガのための人物デッサン/Hito wo kaku notte tanoshiine,"中村成一(Nakamura Seiichi),",廣済堂出版,2012,japanese,ZIP, 39.22 MB
人を描くのって楽しいね！衣服編 /Hito wo kakunotte tanoshiine ihukuhen,"中村成一(Seiichi Nakamura),",廣済堂出版,2011,japanese,ZIP, 39.28 MB
Iconografía cristiana: Guía básica para estudiantes,"Carmona Muela, Juan,","Ediciones Akal, S.A.",2008,spanish,PDF, 42.32 MB
艺术形式,"帕特里克•弗兰克,",中国人民大学出版社,2016,chinese,EPUB, 71.00 MB
张光宇小集（三卷本） 【与齐白石、黄宾虹齐名的艺术大师，《大闹天宫》美术设计张光宇作品集】,"唐薇 / 黄大刚 编,",世纪文景 | 上海人民出版社,2020,chinese,EPUB, 34.51 MB
"Mes dessins Kawaii : Sushis, cupcakes et compagnie","Mayumi Jezewski,",Fleurus,2020,french,EPUB, 5.10 MB
Wet on Wet: The Waldorf School Method of Painting and Color,"Kytka Hilmar-Jezek,",,2014,english,PDF, 2.30 MB
origami aquarium,"Yamaguchi Makoto,",,2020,japanese,PDF, 34.57 MB
How To Draw Cars Fast and Easy,"Tim Rugendyke with Andy Cheung,",How-To-Draw-Cars,2010,english,PDF, 8.60 MB
Figure It Out! Drawing Essential Poses: The Beginner’s Guide to the Natural-Looking Figure 2016,"Christopher Nolan,",sixth spring,2016,english,PDF, 15.05 MB
"Crafting Creativity & Creating Craft: Craftivism, Art Education, and Contemporary Craft Culture","Courtney Lee Weida,",Sense Publishers,2014,english,PDF, 1.41 MB
How to Enjoy Art,"Street, Ben, ,",,2021,english,PDF, 9.25 MB
The Artist’s guide to sketching,"James Gurney, Thomas Kinkade,",Watson-Guptill,1982,english,PDF, 155.49 MB
How To Draw Naruto Characters: The Step by step Guide To Drawing 19 Super Cute Naruto Figures In A Simple Way,"Paul, Sarah & Wilson, Laura,",,2021,english,EPUB, 14.39 MB
陈寅恪先生编年事辑 （增订本）,"蒋天枢,",上海古籍出版社,1997,chinese,PDF, 10.61 MB
Watercolor Energies,"Frank Webb,",North Light Publishers,1982,english,PDF, 18.20 MB
Force Dynamic Life Drawing for Animators,"Mattesi, Mike,",Focal Press,2003,english,EPUB, 6.50 MB
Billy Summers: A Novel,"stephen king seagal,",Scribner,2021,english,PDF, 6.83 MB
图形设计新元素,"埃伦 勒普顿,",,2009,chinese,PDF, 83.07 MB
Navigating Ambiguity,"Andrea Small, Kelly Schmutte, Stanford d.school,",Ten Speed Press,2022,english,EPUB, 18.71 MB
如何看懂书法,"侯吉谅,",北京联合出版公司,2014,chinese,PDF, 12.86 MB
Craft in Art Therapy: Diverse Approaches to the Transformative Power of Craft Materials and Methods,"Lauren Leone (editor),",Routledge,2020,english,PDF, 16.77 MB
"Letters to a Young Artist: Straight-up Advice on Making a Life in the Arts-For Actors, Performers, Writers, and Artists of Every Kind","Anna Deavere Smith,",Anchor,2008,english,EPUB, 1.13 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
1001 quiz sulla storia dell'arte,"Alessandra Pagano,",Newton Compton Editori,2021,italian,EPUB, 1.71 MB
艺术概论,"蒋勋,",北京：生活·读书·新知 三联书店,2000,chinese,PDF, 7.43 MB
You Can Draw Wild Animals,"Damien Toll,",Hinkler Books,2004,english,PDF, 7.32 MB
人を描くのって楽しいね! 顔・頭 編,"中村成一, Seiichi Nakamura,",Kosaido Publishing,2013,japanese,ZIP, 94.70 MB
The Cambridge Companion to Cormac McCarthy,"Steven Frye (editor),",Cambridge University Press,2013,english,PDF, 1.23 MB
Atlas of Emotion,"Giuliana Bruno,",Verso Books,2018,english,EPUB, 36.05 MB
Great Quotes for Great Educators,"Todd Whitaker, Dale Lumpa,",EYE ON EDUCATION,2005,english,PDF, 4.54 MB
10日でマスター　Live2Dモデルメイキング講座,"fumi,",株式会社技術評論社,2019,japanese,EPUB, 42.46 MB
Cello Is Easy,"Miriam Troxler [Troxler, Miriam],",#PrB.rating#4.33,2013,english,EPUB, 623 KB
H γενιά του τριάντα : Ιδεολογία και μορφή,"Mario Vitti,",Ερμής,2000,greek,PDF, 12.05 MB
The new drawing on the right side of the brain,"Betty Edwards,",Jeremy P. Tarcher/Putnam,1999,english,PDF, 21.00 MB
背景作画 : ゼロから学ぶプロの技 SCAN + DLC,"mocha,",KADOKAWA,2017,japanese,ZIP, 82.82 MB
Art 101,"Eric Grzymkowski,",Adams Media,2021,english,EPUB, 2.28 MB
Manual para la elaboración de textos escritos y esquemas gráficos: todo lo que deberías saber para realizar tus trabajos académicos,"Juan Camilo Hernández Rodríguez,",Nullius in Verba Editorial,2020,spanish,PDF, 36.12 MB
从起步到入门一 白描仕女图,"魏建军,",陕西人民美术出版社,2005,chinese,PDF, 2.75 MB
Visual Arts,"Jayson Paterson, Simon Poppy, Andrew Vaughan,",Oxford,2017,english,PDF, 15.87 MB
Drawing Men's Hips [Japan Import],"Chikarainu,",ShinshoKan,2021,japanese,PDF, 11.50 MB
动漫专项练习册 角色造型与服饰,"四夏,",人民邮电出版社,2018,chinese,EPUB, 16.49 MB
Kabale und Liebe,"Friedrich Schiller,",Reclam Verlag,2014,german,EPUB, 978 KB
Manual de psicologia hospitalar - O mapa da doença,"Alfredo Simonetti,",Casa do psicólogo,2016,portuguese,PDF, 7.26 MB
マンガストーリー講座,"田中裕久,",,2014,japanese,PDF, 26.56 MB
"Gute Gestaltung: Verstehen, beurteilen und sicher beauftragen","Rebekka Ludwig,",Dpunkt.Verlag GmbH,2022,german,EPUB, 66.38 MB
Realistic Painting Workshop,"Dan Carrel,",Quarry Books,2010,english,PDF, 149.06 MB
The Practice and Science of Drawing,"Harold Speed,",Dover Publications,2012,english,EPUB, 24.88 MB
Upstream Upper Intermediate B2+ Workbook,"Obee Bob,",EXPRESS PUBLISHING,2021,english,PDF, 55.35 MB
AMIGO SE ESCRIBE CON H,"MARÍA FERNANDA HEREDIA,",,2001,spanish,PDF, 1.47 MB
阴山岩画,"盖山林,",文物出版社,1986,chinese,PDF, 26.68 MB
大学物理学（上）,"徐行可,",高等教育出版社,2014,chinese,PDF, 44.35 MB
99 libros para ser más culto(c.1),"Juan Ignacio Alonso & Fran Zabaleta,",,,spanish,FB2 , 1.32 MB
动画概论,"贾否,",,2010,chinese,PDF, 37.65 MB
The Art of Splatoon 2,"Nintendo,",Dark Horse Books,2019,english,PDF, 63.36 MB
The New Drawing on the Right Side of the Brain: A Course in Enhancing Creativity and Artistic Confidence,"Betty Edwards,",Tarcher,1999,english,PDF, 18.42 MB
The New Drawing on the Right Side of the Brain: A Course in Enhancing Creativity and Artistic Confidence,"Betty Edwards,",Tarcher,1999,english,PDF, 21.04 MB
Fantasmi dell’antico. La tradizione classica nel Rinascimento,"Monica Centanni,",Guaraldi,2017,italian,PDF, 6.75 MB
Hand Made Anime Figure Tutorial,"Xin Hu,",Xinc media inc,2012,japanese,PDF, 20.95 MB
Inktangle Coloring Book: [Printable Coloring Pages],"Gutter Margin,",Gutter Margin,2015,english,MOBI , 8.65 MB
Pembelajaran Membaca,"Subadiyono,",NoerFikri Offset,2014,indonesian,PDF, 2.60 MB
Le dessin pour les nuls,"nuls, Pour les [nuls, Pour les],",,,french,EPUB, 9.13 MB
Bien lire et bien écrire : volume de l'élève,"Ghislaine Wettstein-Badour,",Eyrolles,2016,french,PDF, 22.75 MB
中国艺术论：从非物质文化遗产的视角,"易存国,",江苏人民出版社,2012,chinese,EPUB, 11.02 MB
Estudos de tradução,"Susan Bassnett, Ana Maria Chaves,",FUNDAÇÃO CALOUSTE GULBENKIAN,2003,portuguese,PDF, 8.66 MB
"The Everything Drawing Book: From Basic Shape to People and Animals, Step-by-step Instruction to get you started","South, Helen,",Everything,2004,english,PDF, 9.34 MB
恐龙大探索之恐龙灭绝（美绘注音版 套装共6册）,"孙静 吴飞,",长江出版社,2019,chinese,PDF, 7.70 MB
グラビアポーズ360° No.002 山本有紗vol.2: 360°全方位SEXYポーズ集 GRAVURE POSE BOOK 360° (グラビアボーズ360°),"山本有紗,",PMW INC.,2021,japanese,PDF, 22.31 MB
1984,"George Orwell,",,,english,PDF, 756 KB
Gracias a tus malos padres (Varios (vergara)) (Spanish Edition),"Bach, Richard,",Ediciones B,2012,spanish,EPUB, 948 KB
オーエルポーズ360° No.015 Julia: 360°全方位SEXYポーズ集 GRAVURE POSE BOOK 360° (SEXY GRAVURE POSING BOOK),"Julia,",PMW INC.,2022,japanese,PDF, 23.12 MB
Figure Study Made Easy,"Aditya Chari,",Grace Prakashan,2005,english,PDF, 10.34 MB
Leitura de Imagens,"Lucia Santaella,",Melhoramentos,2012,portuguese,PDF, 3.99 MB
グラビアポーズ360° No.123 宇佐美さくらvol.1: 360°全方位SEXYポーズ集 GRAVURE POSE BOOK 360° (グラビアボーズ360°),"宇佐美さくら,",PMW INC.,2022,japanese,PDF, 19.75 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
Art Scents: Exploring the Aesthetics of Smell and the Olfactory Arts,"Larry Shiner,",Oxford University Press,2020,english,PDF, 2.03 MB
The PD Curator: How to Design Peer-to-Peer Professional Learning That Elevates Teachers and Teaching,"Lauren Porosoff,",ASCD,2021,english,EPUB, 2.53 MB
朗读者I+II 大全集共6册(央视重磅综艺同名图书，精选2年节目内容，收录130位朗读者的珍贵访谈，423读书日特别奉献),"董卿 [董卿],",人民文学出版社,2019,chinese,PDF, 57.80 MB
Southwest Art - October 2019,"Southwest Art,",Southwest Art,2019,english,PDF, 46.67 MB
Скетчи по воскресеньям. Как несерьезные эксперименты вырастают в крутые идеи и меняют нашу жизнь навсегда,"Кристоф Ниманн,",МИФ,2017,russian,PDF, 54.95 MB
Lightroom CC Complete Training: Learn the Entire Photographers Workflow in the new Lightroom CC,"Ramelli, Serge,",PhotoSerge LLC,2016,english,EPUB, 144.89 MB
Pamiętnik Narkomanki,"Rosiek Barbara,",,,polish,FB2.ZIP, 605 KB
Painting Skies and Seascapes,"Peter Rush,",Crowood Press,2014,english,EPUB, 17.52 MB
1000 Meisterwerke der Zeichenkunst,"Victoria Charles,",Parkstone International,,german,EPUB, 59.56 MB
Drawing: The Enactive Evolution of the Practitioner  ,"Patricia Cain,",Intellect Ltd,2010,english,PDF, 7.72 MB
Histoire de la Virilité T1 - L'Invention de la Virilité,"Alain Corbin, Jean-Jacques Courtine, Georges Vigarello,",Seuil,2011,french,EPUB, 3.35 MB
The Art of Guild Wars 2,"Ree Soesbee,",Arenanet,2009,english,PDF, 41.31 MB
Le grand livre du théâtre,"Luc Fritsch [Fritsch, Luc],",Eyrolles,2015,french,EPUB, 665 KB
沒有主義 （没有主义）,"高行健,",聯經出版事業公司，高清扫描版,2001,chinese,PDF, 18.08 MB
Basic painting and drawing principles and techniques from the Renaissance,"John Hagan,",John Hagan,2000,english,PDF, 12.96 MB
谁都能学会：7天葫芦丝教程（图解版）,"美人鱼工作室,",人民邮电出版社,2017,chinese,EPUB, 7.20 MB
绘画知识一本通,"《绘画知识一本通》编写组,","中国出版集团, 世界图书出版公司",2010,chinese,EPUB, 37.77 MB
비디오조각과 젠가,"김은지,",한국학술정보,2011,korean,PDF, 32.62 MB
Die Gestalt des Menschen,"Gottfried Bammes,",Urania Verlag,1989,german,PDF, 174.76 MB
Evaluating and Assessing the Visual Arts in Education: International Perspectives,"Doug Boughton, Elliot W. Eisner, Johan Ligtvoet,",Teachers College Press,1996,english,EPUB, 677 KB
Manual de sobrevivência na escrita,"Ana Rüsche & George Amaral,",,2020,portuguese,PDF, 785 KB
"Spring Crafts for Kids: 17 Flower Crafts, Butterfly Crafts, and More","Prime Publishing [Publishing, Prime],",Prime Publishing,2014,english,EPUB, 3.21 MB
张光宇文集,"张光宇 著；唐薇 编；骑风游 制作,",山东美术出版社,2011,chinese,EPUB, 22.77 MB
MODUL PENDAMPING PENYUSUNAN SOAL TRY OUT ASESMEN KOMPETENSI MINIMUM (AKM) BERBASIS IT UNTUK JENJANG SEKOLAH DASAR,"Dr. Dra. Panca Dewi Purwati, M. Pd. Dr. Drs. Ngabiyanto, M. Si. Siti Maryatul Kiptiyah, S. Si., S. Pd., M. Pd. Arif Widiyatmoko, S. Pd., M. Pd., Ph. D. in Ed.,",Bildung,2021,indonesian,PDF, 2.72 MB
Kammerlohr - Epochen der Kunst,"Robert Hahne,",Oldenbourg Schulbuchverl.,2015,german,PDF, 269.12 MB
别想摆脱书：艾柯&卡里埃尔对话录,"[法] 卡里埃尔 / [意] 翁贝托·埃科,",,,,PDF, 15.51 MB
Wildlife Oil Painting: David Stribbling's amazing methods revealed,"Roy Simmons [Simmons, Roy],",Roy Simmons,2014,english,PDF, 8.29 MB
开宝遗珍 目录,"方广錩, 李际宁,",文物出版社,2010,chinese,PDF, 12.95 MB
Art Through the Ages,"Helen Gardner, Horst De La Croix, Richard G. Tansey,",Houghton Mifflin Harcourt Press,1980,english,DJVU, 101.89 MB
写作,"张杰 萧映 主编,",北京大学出版社,2009,chinese,PDF, 18.57 MB
簪花仕女图临摹技法,"任梦龙,",人民美术出版社,2008,chinese,PDF, 28.00 MB
Le origini di Roma. Storia dell'arte romana. Ediz. illustrata,"Filippo Coarelli,",Jaca Book,2021,italian,PDF, 67.68 MB
アニメーションの基礎知識大百科,"上村幸子,",Graphic Inc .,2009,japanese,PDF, 220.23 MB
Drawing Anatomy: An Artist's Guide to the Human Figure,"Barrington Barber,",Arcturus,2017,english,EPUB, 26.20 MB
ORIENTAÇÃO PEDAGÓGICA DA ORIENTAÇÃO EDUCACIONAL NA SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL,"Alessandro Neves de Souza Cléssia Mara dos Santos Érika Goulart Araújo Marina Cantanhêde Rampazzo Michelle Ribeiro Confessor,",SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL,2020,portuguese,PDF, 3.85 MB
Upstream B2+ Test Booklet,"Virginia Evans, Bob Obee,",Express Publishing,,english,PDF, 6.20 MB
Visi Guru Penggerak,"Nurohmat,",Pustaka Ilalang,2021,indonesian,PDF, 1.96 MB
「俳画」上達レッスン　技法と表現を磨く　50のポイント コツがわかる本,"本田 翔穂 [本田　翔穂],",メイツ出版,2018,japanese,EPUB, 21.51 MB
Thriving at Work: What They Didn't Teach You in School,"Michael Dam [Dam, Michael],",Mdd_consulting,2017,english,EPUB, 438 KB
必然,"凯文·凯利,",,,chinese,PDF, 139.57 MB
Mi primer libro de manualidades,"VVAA,",Susaeta,,spanish,EPUB, 5.72 MB
Why We Need Arts Education: Revealing the Common Good: Making Theory and Practice Work Better,"Howard Cannatella (auth.),",SensePublishers,2015,english,PDF, 2.47 MB
La promozione delle arti negli Stati italiani,"Sandra Pinto,",Einaudi,2022,italian,EPUB, 48.24 MB
Histoire des traductions en langue française (XXè siècle) 1914-2000,"Bernard Banoun, Isabelle Poulin et Yves Chevrel,",Verdier,2019,french,PDF, 110.64 MB
Art in Minutes,"Susie Hodge,",,2019,,PDF, 36.99 MB
आग का दरिया,"सुरेंद्र मोहन पाठक,",,2002,hindi,EPUB, 681 KB
Epochen der Kunst,"Robert Hahne, Susanna Partsch, Gerlinde Rachow, Susanne Rezac, Andrea Schaller, Claudia Siegel-Weiß, Elisabeth Wünsche-Werdehausen,",Oldenbourg Schulbuchverl.,1963,german,PDF, 265.95 MB
 古代西亚艺术,"高火,",河北教育出版社,,chinese,PDF, 67.60 MB
グラビアポーズ360° No.015.高杉杏: 360°全方位SEXYポーズ集 GRAVURE POSE BOOK 360° (グラビアボーズ360°),"高杉杏,",PMW INC.,2021,japanese,PDF, 22.08 MB
手绘效果图表现技法详解--室内设计,"宋丹、解边锋、吕海岐,",中国电力出版社,,chinese,PDF, 109.94 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
人体解剖図から学ぶキャラクターデッサンの描き方,"岩崎 こたろう, カネダ工房,",誠文堂新光社,2011,japanese,PDF, 9.04 MB
"Unfurling, a mixed-media workshop with Misty Mawn: inspiration and techniques for self-expression through art","Mawn, Misty,",Quarry Books,2011,english,PDF, 104.41 MB
グラビアポーズ360° No.016 高杉杏: 360°全方位SEXYポーズ集 GRAVURE POSE BOOK 360° (グラビアボーズ360°),"高杉杏,",PMW INC.,2021,japanese,PDF, 19.58 MB
Bass Guitar Exercises for Dummies,"Patrick Pfeiffer,",For Dummies,2020,english,EPUB, 8.89 MB
"Drawing Animals: Learn How to Draw Everything from Dogs, Sharks, and Dinosaurs to Cats, Llamas, and More!","Lise Herzog,",Ulysses Press,2021,english,PDF, 16.37 MB
Lets Draw Manga,"Tadashi Ozawa,","Digital Manga, Inc.",2005,english,PDF, 6.59 MB
2022徐涛优题库习题版-试题册(去水印),"徐涛,",中国政法大学出版社,2022,chinese,PDF, 58.14 MB
おっぱいの描き方,"ポストメディア編集部,",一迅社,2016,japanese,PDF, 61.38 MB
The kind of schools we need : personal essays,"Eisner, Elliot W,",,2020,english,PDF, 15.28 MB
超精致的人像彩铅手绘技法,"斑尼,",电子工业出版社,2019,chinese,PDF, 13.16 MB
マンガキャラの服装資料集 女子カジュアル編,"アミューズメントメディア総合学院,",廣済堂出版,2012,japanese,PDF, 75.06 MB
Art As A Thinking Process: Visual Forms of Knowledge Production,"Mara Ambrozic (editor), Angela Vettese (editor),",Ram Publications,2013,english,PDF, 2.40 MB
"250 Brief, Creative & Practical Art Therapy Techniques: A Guide for Clinicians and Clients","Susan I. Buchalter,",PESI Publishing & Media,2019,english,EPUB, 2.98 MB
Смотреть и видеть. Путеводитель по искусству восприятия,"Александра Горовиц,",АСТ : CORPUS,2017,russian,FB2 , 1.36 MB
Manual de Direito Previdenciário: Teoria e Questões,"Hugo Goes,",Ferreira,2018,portuguese,PDF, 135.26 MB
A Cerâmica,"Joaquim Chavarria, Jordi Segú,",Editorial Estampa,1997,portuguese,PDF, 57.30 MB
常沙娜文集,"常沙娜 著 / 高璐 / 崔岩 编,",山东美术出版社,2011,chinese,PDF, 118.63 MB
グラビアポーズ360° No.123 宇佐美さくらvol.1: 360°全方位SEXYポーズ集 GRAVURE POSE BOOK 360° (グラビアボーズ360°),"宇佐美さくら,",PMW INC.,2022,japanese,PDF, 19.75 MB
"Michael Fried and Philosophy: Absorption, Theatricality, and Modernism","Mathew Abbott,",Routledge,2018,english,EPUB, 2.67 MB
法研教科书:债法总论(elib.cc),"王洪亮 elib.cc,","北京大学出版社 ,elib.cc",2016,chinese,EPUB, 276 KB
Ensiklopedi Wayang Indonesia (D-E-F),"Drs. H. Solichin, Drs. Suyanto, S.Kar., M.A., Sumari, S.Sn., M.M.,",Mitra Sarana Edukasi,2017,indonesian,PDF, 33.58 MB
360°マルチアングルポーズコレクション 2 [標準体型 女性編],"西村光太,",,2014,japanese,PDF, 13.96 MB
グラビアポーズ360° No.001 山本有紗: 360°全方位SEXYポーズ集 GRAVURE POSE BOOK 360° (グラビアボーズ・サンロクマル),"山本有紗,",PMW INC.,2021,japanese,PDF, 26.88 MB
スーパー・ポーズブック アナタノペット編,"岛本耕司,",,,japanese,PDF, 13.34 MB
Graphic Novels and Visual Cultures in South Asia,"E. Dawson Varughese, Rajinder Dudrah,",Routledge,2020,english,PDF, 16.86 MB
室内设计方案创意与快速手绘表达提高,"贾森 编著,",,,chinese,PDF, 56.66 MB
Understanding Art,"Lois Fichner-Rathus,",Prentice Hall,1992,english,PDF, 81.16 MB
Museum Educator's Handbook,"Talboys, Graeme K,",Taylor and Francis,2011,english,PDF, 2.99 MB
Drawing Ideas: A Hand-Drawn Approach for Better Design,"Baskinger, Mark & Bardel, William [Baskinger, Mark & Bardel, William],",Ten Speed Press,2013,english,PDF, 21.90 MB
闻香,"叶岚,",山东画报出版社,2011,chinese,PDF, 34.67 MB
中国古典文献学的理论与方法,"郭英德, 于雪棠,",北京师范大学出版社,2008,chinese,PDF, 116.00 MB
Быстрые зарисовки с Анной Эгидой,"Анна Эгида,","Манн, Иванов и Фербер",2022,russian,PDF, 54.47 MB
The War Of Art ( How Entrepreneur.com) By Steven Pressfield,"Steven Pressfield [Pressfield, Steven],",,,english,EPUB, 127 KB
Grammar Friends 4,"Eileen Flannigan,",OXFORD,,english,PDF, 12.74 MB
The Underwater Planet (Geronimo Stilton Spacemice #6),"Geronimo Stilton,",Scholastic Inc.,2016,english,AZW3 , 21.09 MB
Hand Made Anime Figure Tutorial 2,"Hand Made the Figure, Xin Hu,",,,japanese,PDF, 21.83 MB
艺术社会学,"（匈）阿诺德·豪泽尔著  居延安译编,",,2017,,PDF, 12.77 MB
张仃文集,"张仃 著；雷子人 编,",山东美术出版社,2011,chinese,PDF, 167.69 MB
绘画形式语言研究：多维视野下的绘画形式理,"蒋跃,",安徽美术出版社,2008,chinese,PDF, 115.89 MB
"A ESTÉTICA DO CRIME: OS DELITOS CONTEMPLADOS PELA ARTE, LITERATURA E CINEMA","Anderson Wagner Santos de Araújo (Organizador),",Editora Garcia / Épico cultural,2021,portuguese,PDF, 4.47 MB
How To Draw Superpowered Villains Supersize,"coll.,",Antarctic Press,2010,english,PDF, 72.77 MB
Breve Introduccion A La Teoria Literaria,"Culler Jonathan,",,,spanish,PDF, 3.57 MB
Aprendendo Inteligência,"Pierluigi Piazzi,",,,portuguese,PDF, 49.54 MB
15天学会素描——风景篇(elib.cc),"涂涂猫 elib.cc,","人民邮电出版社 ,elib.cc",2016,chinese,EPUB, 50.45 MB
孩子如何思考 The Philosophical Baby 天生学习家系列,"艾莉森·高普尼克 Alison Gopnik,",浙江人民出版社,2019,chinese,EPUB, 1.06 MB
Éloge du genre policier,"Gilbert Keith Chesterton,",éditions Myriel,2016,french,EPUB, 60 KB
Kammerlohr - Kunst Oberstufe. Theorie und Praxis,"Manuela Bünzow, Robert Hahne, Sigrid Klima, Gerlinde Rachow, Susanne Rezac, Andrea Schaller, Claudia Spanhel,",Oldenbourg Schulbuchverl.,2018,german,PDF, 207.41 MB
Grammar Friends 3,"Eileen Flannigan,",OXFORD,,english,PDF, 12.20 MB
大佛頂楞嚴咒咒疏（大白伞蓋佛顶陀罗尼）,"楞嚴咒咒疏,",,2013,chinese,PDF, 1.12 MB
Teaching Artistic Research: Conversations Across Cultures,"Ruth Mateus-Berr, Richard Jochum,",De Gruyter,2020,english,PDF, 7.90 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
Great Paintings,"KAREN HOSACK JANES,",Dorling Kindersley Ltd,2011,english,PDF, 80.94 MB
世界美术全集：绘画卷,"韩清华,",光明日报出版社,2003,chinese,PDF, 44.84 MB
Watercolor Workshop,"Glynis Barnes-Mellish,",DK ADULT,2006,english,PDF, 64.13 MB
Color and Light: A Guide for the Realist Painter,"James Gurney,",Andrews McMeel Publishing,2010,english,PDF, 484.42 MB
Delphi Complete Works of Michelangelo,"Michelangelo di Lodovico Buonarroti Simoni,",Delphi Classics,2014,english,EPUB, 43.65 MB
Delphi Collected Works of Claude Monet (Illustrated),"Claude Monet, Peter Russel,", Classics,2012,english,EPUB, 31.98 MB
伯里曼人体结构绘画教学,"乔治·伯里曼,",广西美术出版社,2002,chinese,PDF, 12.54 MB
插画师之路：人物角色设计与场景插画手绘技法,"杨伟林编著,",BEIJING BOOK CO. INC.,2018,chinese,EPUB, 220.57 MB
中国传世山水画 / Chinese Landscape Paintings,"Tom Hoffmann,",,2004,chinese,PDF, 88.91 MB
Delphi Complete Works of Hieronymus Bosch (Illustrated),"Hieronymus Bosch, Peter Russell,",Delphi Classics,2017,english,EPUB, 14.70 MB
Watercolor Workshop II,"Glynis Barnes-Mellish,",DK Publishing (Dorling Kindersley),2007,english,PDF, 54.34 MB
Delphi Complete Works of Gustav Klimt (Illustrated),"Gustav Klimt, Peter Russell,",Delphi Classics,2014,english,EPUB, 20.73 MB
Imaginative Realism: How to Paint What Doesn’t Exist,"James Gurney,",Andrews McMeel Publishing,2009,english,PDF, 103.48 MB
